sku,name,mrp,category,image_url
FMCG-001,সরিষার তেল ১ লিটার,180,তেল,
FMCG-002,সয়াবিন তেল ১ লিটার,165,তেল,
FMCG-003,নারকেল তেল ২০০ মিলি,120,তেল,
FMCG-004,মসুর ডাল ১ কেজি,130,ডাল,
FMCG-005,মুগ ডাল ১ কেজি,145,ডাল,
FMCG-006,ছোলার ডাল ১ কেজি,110,ডাল,
FMCG-007,খেসারি ডাল ১ কেজি,95,ডাল,
FMCG-008,মিনিকেট চাল ৫ কেজি,380,চাল,
FMCG-009,নাজিরশাইল চাল ৫ কেজি,420,চাল,
FMCG-010,হলুদ গুঁড়া ২০০ গ্রাম,65,মশলা,
FMCG-011,মরিচ গুঁড়া ২০০ গ্রাম,75,মশলা,
FMCG-012,ধনে গুঁড়া ২০০ গ্রাম,55,মশলা,
FMCG-013,জিরা গুঁড়া ১০০ গ্রাম,60,মশলা,
FMCG-014,খাঁটি মধু ৫০০ গ্রাম,450,মধু,
FMCG-015,দেশি ঘি ২০০ গ্রাম,380,ঘি,
FMCG-016,আটা ২ কেজি,95,আটা,
FMCG-017,ময়দা ১ কেজি,65,আটা,
FMCG-018,চিনি ১ কেজি,120,চিনি,
FMCG-019,লবণ ১ কেজি,35,লবণ,
FMCG-020,গুড় ৫০০ গ্রাম,85,গুড়,
